lifecycle_event_id,lifecycle_session_id,paper_shadow_event_id,source_cluster_id,family_event_id,timestamp_broker,timestamp_utc,timestamp_local,symbol,expert_family,observer,decision_bar_time,direction,entry_price_projected,stop_price_projected,target_price_projected,input_paper_shadow_action,input_paper_shadow_state,lifecycle_stage,synthetic_open_state,synthetic_close_state,synthetic_close_reason,synthetic_hold_bars,synthetic_gross_r,synthetic_cost_r,synthetic_net_r,running_synthetic_equity_r,running_synthetic_peak_r,running_synthetic_drawdown_r,risk_lock_after_event,kill_rule_state,proxy_cost_r,net_after_proxy_from_gross_r,review_priority,demo_authorized,real_phase2_readiness,blocker_override_mode,mt5_runtime_touched,broker_action_code_allowed,lifecycle_notes
PH3LIFE00001,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00001,WS001,FAM00001,2026.05.22 11:25:01,2026.05.22 11:24:57,2026.05.22 15:24:57,XAUUSD,breakout_retest_family,breakout_retest,2026.05.22 11:25:00,SHORT,4511.74,4516.09,4505.22,WOULD_PAPER_SHADOW_OPEN,PAPER_SHADOW_ELIGIBLE,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,CLOSED_STOP,synthetic_stop_hit,5,-1.0000,0.2529,-1.2529,-1.2529,0.0000,-1.2529,NORMAL,NORMAL,0.2529,0.2587,LOW,false,PENDING,side_experiment_only,false,false,Synthetic lifecycle close reason: synthetic_stop_hit. This is not broker or market execution.
PH3LIFE00002,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00002,WS002,FAM00001,2026.05.22 11:25:01,2026.05.22 11:24:57,2026.05.22 15:24:57,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.22 11:25:00,SHORT,4511.74,4516.09,4505.22,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-1.2529,0.0000,-1.2529,NORMAL,NORMAL,0.2529,0.2587,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00003,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00003,WS003,FAM00002,2026.05.22 11:50:01,2026.05.22 11:49:57,2026.05.22 15:49:57,XAUUSD,breakout_retest_family,breakout_retest,2026.05.22 11:50:00,LONG,4522.94,4516.58,4532.47,WOULD_PAPER_SHADOW_OPEN,PAPER_SHADOW_ELIGIBLE,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,CLOSED_TIME_STOP,synthetic_time_stop_small_win,12,0.3500,0.1731,0.1769,-1.0760,0.0000,-1.0760,NORMAL,NORMAL,0.1731,0.3385,LOW,false,PENDING,side_experiment_only,false,false,Synthetic lifecycle close reason: synthetic_time_stop_small_win. This is not broker or market execution.
PH3LIFE00004,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00004,WS004,FAM00002,2026.05.22 11:50:01,2026.05.22 11:49:57,2026.05.22 15:49:57,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.22 11:50:00,LONG,4522.94,4516.58,4532.47,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-1.0760,0.0000,-1.0760,NORMAL,NORMAL,0.1731,0.3385,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00005,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00005,WS005,FAM00003,2026.05.22 12:45:00,2026.05.22 12:44:56,2026.05.22 16:44:56,XAUUSD,breakout_retest_family,breakout_retest,2026.05.22 12:45:00,LONG,4518.58,4514.30,4525.01,BLOCKED_SUSPEND_FAMILY,SUSPEND_FAMILY_BLOCKED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,net_expectancy_below_minimum_after_proxy_cost,0,0.0000,0.0000,0.0000,-1.0760,0.0000,-1.0760,NORMAL,SUSPEND_FAMILY,0.3734,0.1382,HIGH,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00006,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00006,WS006,FAM00003,2026.05.22 12:45:00,2026.05.22 12:44:56,2026.05.22 16:44:56,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.22 12:45:00,LONG,4518.58,4514.30,4525.01,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-1.0760,0.0000,-1.0760,NORMAL,SUSPEND_FAMILY,0.3734,0.1382,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00007,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00007,WS007,FAM00004,2026.05.22 12:50:00,2026.05.22 12:50:01,2026.05.22 16:50:01,XAUUSD,breakout_retest_family,breakout_retest,2026.05.22 12:50:00,LONG,4519.58,4515.40,4525.85,WOULD_PAPER_SHADOW_OPEN,PAPER_SHADOW_ELIGIBLE,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,CLOSED_BREAK_EVEN,synthetic_break_even,6,0.0000,0.2633,-0.2633,-1.3393,0.0000,-1.3393,NORMAL,NORMAL,0.2633,0.2483,LOW,false,PENDING,side_experiment_only,false,false,Synthetic lifecycle close reason: synthetic_break_even. This is not broker or market execution.
PH3LIFE00008,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00008,WS008,FAM00004,2026.05.22 12:50:00,2026.05.22 12:50:01,2026.05.22 16:50:01,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.22 12:50:00,LONG,4519.58,4515.40,4525.85,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-1.3393,0.0000,-1.3393,NORMAL,NORMAL,0.2633,0.2483,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00009,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00009,WS009,FAM00005,2026.05.22 14:05:00,2026.05.22 14:05:00,2026.05.22 18:05:00,XAUUSD,breakout_retest_family,breakout_retest,2026.05.22 14:05:00,SHORT,4511.45,4517.35,4502.59,WOULD_PAPER_SHADOW_OPEN,PAPER_SHADOW_ELIGIBLE,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,CLOSED_TIME_STOP,synthetic_time_stop_small_loss,12,-0.2500,0.1863,-0.4363,-1.7756,0.0000,-1.7756,NORMAL,NORMAL,0.1863,0.3253,LOW,false,PENDING,side_experiment_only,false,false,Synthetic lifecycle close reason: synthetic_time_stop_small_loss. This is not broker or market execution.
PH3LIFE00010,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00010,WS010,FAM00005,2026.05.22 14:05:00,2026.05.22 14:05:00,2026.05.22 18:05:00,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.22 14:05:00,SHORT,4511.45,4517.35,4502.59,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-1.7756,0.0000,-1.7756,NORMAL,NORMAL,0.1863,0.3253,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
